LLM可训练总参数量：25.830 百万
Epoch:[1/1](12100/22080) loss:2.553 lr:0.000262437976 epoch_Time:23.0min:
Epoch:[1/1](12200/22080) loss:2.485 lr:0.000258925218 epoch_Time:23.0min:
Epoch:[1/1](12300/22080) loss:2.614 lr:0.000255420776 epoch_Time:22.0min:
Epoch:[1/1](12400/22080) loss:2.324 lr:0.000251925358 epoch_Time:22.0min:
Epoch:[1/1](12500/22080) loss:2.161 lr:0.000248439672 epoch_Time:22.0min:
Epoch:[1/1](12600/22080) loss:2.323 lr:0.000244964424 epoch_Time:22.0min:
Epoch:[1/1](12700/22080) loss:2.576 lr:0.000241500317 epoch_Time:22.0min:
Epoch:[1/1](12800/22080) loss:2.553 lr:0.000238048054 epoch_Time:21.0min:
Epoch:[1/1](12900/22080) loss:2.234 lr:0.000234608331 epoch_Time:21.0min:
Epoch:[1/1](13000/22080) loss:2.318 lr:0.000231181846 epoch_Time:21.0min:
Epoch:[1/1](13100/22080) loss:2.575 lr:0.000227769293 epoch_Time:21.0min:
Epoch:[1/1](13200/22080) loss:1.962 lr:0.000224371362 epoch_Time:20.0min:
Epoch:[1/1](13300/22080) loss:2.188 lr:0.000220988742 epoch_Time:20.0min:
Epoch:[1/1](13400/22080) loss:2.422 lr:0.000217622116 epoch_Time:20.0min:
Epoch:[1/1](13500/22080) loss:2.465 lr:0.000214272167 epoch_Time:20.0min:
Epoch:[1/1](13600/22080) loss:2.208 lr:0.000210939572 epoch_Time:20.0min:
Epoch:[1/1](13700/22080) loss:2.122 lr:0.000207625007 epoch_Time:19.0min:
Epoch:[1/1](13800/22080) loss:2.552 lr:0.000204329142 epoch_Time:19.0min:
Epoch:[1/1](13900/22080) loss:2.192 lr:0.000201052644 epoch_Time:19.0min:
Epoch:[1/1](14000/22080) loss:2.128 lr:0.000197796178 epoch_Time:19.0min:
Epoch:[1/1](14100/22080) loss:2.470 lr:0.000194560401 epoch_Time:18.0min:
Epoch:[1/1](14200/22080) loss:2.245 lr:0.000191345970 epoch_Time:18.0min:
Epoch:[1/1](14300/22080) loss:2.104 lr:0.000188153534 epoch_Time:18.0min:
Epoch:[1/1](14400/22080) loss:2.558 lr:0.000184983741 epoch_Time:18.0min:
Epoch:[1/1](14500/22080) loss:2.471 lr:0.000181837231 epoch_Time:17.0min:
Epoch:[1/1](14600/22080) loss:2.337 lr:0.000178714642 epoch_Time:17.0min:
Epoch:[1/1](14700/22080) loss:2.196 lr:0.000175616606 epoch_Time:17.0min:
Epoch:[1/1](14800/22080) loss:2.122 lr:0.000172543750 epoch_Time:17.0min:
Epoch:[1/1](14900/22080) loss:2.499 lr:0.000169496696 epoch_Time:17.0min:
Epoch:[1/1](15000/22080) loss:2.987 lr:0.000166476061 epoch_Time:16.0min:
